sku,segment,category,distribution_center_id,cost,retail_price,name,brand,department,id
B23C5765E165D83AA924FA8F13C05F25,Consumer,Swim,1,92.6525625942932,150.41000366210938,Swimmers Compression Long Sleeve Top,Brand 062615,Men,27569
219B690D203EB8A0FBFD52A4CB0214CF,Consumer,Swim,1,23.119791052526839,40.4900016784668,Runway Boardshort,Brand 131279,Men,28165
1041A1C29970D80D56B6DC22A9F4AB31,Luxury,Swim,1,27.654689382424053,50.189998626708977,Deep Pockets,Brand 131722,Men,27838
5CC9BBD6C9C018E4642E8BF7292D65CE,Luxury,Swim,1,26.426740323717,45.020000457763672,All Day Everyday,Brand 131722,Men,27848
D484A3FDE40E65E19C2799B9B529C82E,Luxury,Swim,1,24.420000045793127,41.25,Natatorium Swim Trunk,Brand 131722,Men,27802
8467AE9D40EAB0D2E959428E140468CE,Luxury,Swim,1,17.604129902291,29.989999771118164,Solid Swim Trunks,Brand 233002,Men,28179
DDCCF393356F010BC68C23D9BC76E917,Luxury,Swim,1,15.161679927557408,23.989999771118164,Swim Trunks,Brand 270304,Men,27589
7E85AB219B917D0E0E7E8FC8B9EE92B8,Luxury,Swim,1,9.2338398927374179,14.989999771118164,Swim Trunks Shorts,Brand 270304,Men,27731
A28477D0C57129B93D95BAF171634582,Luxury,Swim,1,49.549201144012805,78.9000015258789,1mm Coreheater Longsleeved Shirt,Brand 316122,Men,27870
F2F25C1B2EA4636E7CF2190A36677F98,Luxury,Swim,1,17.038500414282083,30.700000762939453,Short Sleeve Burnout Rashguard,Brand 316122,Men,27873
0ED83CA5894F30AED6DA389D630D89A3,Luxury,Swim,1,28.079999611973761,46.799999237060554,Long Sleeve P2 Insulated Shirt,Brand 316122,Men,27909
AA2BD246ADDCC5892184BDF6BA9580CE,Consumer,Swim,1,32.150000147521496,50.0,Hibiscus Cargo Swim Trunks,Brand 340747,Men,27982
E54C7A057F1D638A840D301EF7DA5473,Consumer,Swim,1,35.329691114177407,55.9900016784668,Mirage Aggrolite Plus Boardshort,Brand 355697,Men,27846
D1AD628529079C3394DAB80EBDF3604E,Consumer,Swim,1,45.891298324537281,79.949996948242173,Dawn Patrol Long Sleeve Jacket,Brand 355697,Men,28288
82166899AA3DB47B87226F5E2ABFBCA7,Consumer,Swim,1,36.566848347672817,64.949996948242188,Hotskin Short Sleeve Jacket,Brand 355697,Men,28098
C4CAF9E04A0D4F83565449F2CCE9D5D5,Consumer,Swim,1,20.603430936008397,36.9900016784668,Wetsuits Men's Boardshort,Brand 355697,Men,28095
BC42A91889FFC14111C4EAE0557C5259,Consumer,Swim,1,23.101399212843177,40.599998474121087,Wetsuits Men's Mirage Flex Freedom Boardshort,Brand 355697,Men,28264
2DA5A68C98274485ADC266E224D77B0F,Consumer,Swim,1,34.926500072702765,59.5,Mirage Flex Aggrolite Short,Brand 355697,Men,27767
ADD6AB8551D16AA6FBE68C50F740CC94,Consumer,Swim,1,20.576999208249148,36.099998474121087,Mirage Flex Accelerate,Brand 355697,Men,28186
1A7DA998DED68C09B6FB68853539E59A,Consumer,Swim,1,23.975519967700841,40.1599998474121,Wetsuits Men's Boardshort,Brand 355697,Men,28265
373590403F80D686F78B18A45DDD22EF,Consumer,Swim,1,23.895541142716112,36.9900016784668,Wetsuits Men's Lurid Boardshort,Brand 355697,Men,28273
94BD0D00E32AB21DF4C5CDFDB2125CB4,Consumer,Swim,1,19.748191046604369,33.9900016784668,Wetsuits Men's Daily Dosage Boardshort,Brand 355697,Men,27755
ABDD2931B521CCF6F0F80F7D6A540928,Consumer,Swim,1,29.284200463789706,52.200000762939446,Mirage Tangent Short,Brand 355697,Men,27999
66AD4C25533779BFE270868C28B48B8D,Consumer,Swim,1,20.026350464766477,34.950000762939453,Classic Short Sleeve Wave Lycra Rash Guard,Brand 355697,Men,27578
0F4EC68D74CEFD79FC0F45D3921C14B7,Consumer,Swim,1,38.989500047639005,69.5,Mirage Hektic Short,Brand 355697,Men,27872
12B4A55CB5E13762B0B5E208041DD613,Consumer,Swim,1,30.91143982147932,53.479999542236328,Wetsuits Men's Mirage Grid Lock Short,Brand 355697,Men,27798
414CB71EC2809A5FDA79A2463125DDEE,Consumer,Swim,1,20.718720684616567,34.880001068115234,Solid Swim Trunk,Brand 366795,Men,27608
0A688AD7351B2E3CFEC7EE3112206E6B,Consumer,Swim,1,25.20416079508901,39.880001068115234,Print Swim Trunk,Brand 366795,Men,28099
