"id","lesson_id","customer_id"
1,54,389
2,54,159
3,55,159
4,56,159
5,54,364
6,56,364
7,59,364
8,60,364
9,54,416
10,56,416
11,57,416
12,59,416
13,60,416
14,54,6
15,55,6
16,57,6
17,54,48
18,55,48
19,56,48
20,57,48
21,58,48
22,54,169
23,55,314
24,57,314
25,58,314
26,54,325
27,57,325
28,58,325
29,61,325
30,63,325
31,55,343
32,56,343
33,58,343
34,61,343
35,62,343
36,54,21
37,56,21
38,59,21
39,61,21
40,63,21
41,55,78
42,54,207
43,56,207
44,58,207
45,55,125
46,57,125
47,58,125
48,60,125
49,62,125
50,55,208
51,56,215
52,57,215
53,59,215
54,60,215
55,61,215
56,58,21
57,60,21
58,62,21
59,56,507
60,63,507
61,69,507
62,74,507
63,80,507
64,86,507
65,92,507
66,98,507
67,110,507
68,116,507
69,56,508
70,62,508
71,68,508
72,74,508
73,80,508
74,86,508
75,92,508
76,98,508
77,110,508
78,116,508
79,55,509
80,61,509
81,67,509
82,73,509
83,79,509
84,85,509
85,91,509
86,97,509
87,103,509
88,109,509
89,55,510
90,61,510
91,67,510
92,73,510
93,79,510
94,91,510
95,97,510
96,103,510
97,109,510
98,115,510
99,57,511
100,63,511
101,69,511
102,75,511
103,81,511
104,87,511
105,93,511
106,99,511
107,111,511
108,117,511
109,314,516
110,59,516
111,315,516
112,55,512
113,314,512
114,59,512
115,315,512
116,63,512
117,314,514
118,58,514
119,315,514
120,62,514
121,64,514
122,55,515
123,314,515
124,57,515
125,59,515
126,315,515
127,314,517
128,58,517
129,55,517
130,61,517
131,62,517
132,58,532
133,64,532
134,70,532
135,76,532
136,82,532
137,88,532
138,94,532
139,100,532
140,106,532
141,112,532
142,58,597
143,64,597
145,76,597
146,82,597
147,88,597
148,100,597
149,106,597
150,112,597
151,118,597
152,55,598
153,59,598
154,315,598
155,57,606
156,59,606
157,62,606
158,58,607
159,59,607
160,60,607
161,315,607
162,63,607
163,57,608
164,58,609
165,60,609
166,62,609
167,62,627
168,64,627
169,65,627
170,60,389
171,66,389
172,72,389
173,78,389
174,84,389
175,90,389
176,96,389
177,102,389
178,108,389
179,114,389
180,61,169
181,67,169
182,73,169
183,79,169
184,85,169
185,59,78
186,62,78
187,65,78
188,68,78
189,71,78
190,74,78
191,77,78
192,80,78
193,83,78
194,86,78
195,315,208
196,65,208
197,316,208
198,315,159
199,316,159
200,75,159
201,124,597
202,63,6
203,316,6
204,75,6
205,81,6
206,87,6
207,59,120
208,59,145
209,61,145
210,63,145
211,315,202
212,63,202
213,65,202
214,62,188
215,64,188
216,66,188
217,64,314
218,70,314
219,76,314
220,82,314
221,94,314
222,100,314
223,106,314
224,112,314
225,118,314
226,124,314
227,63,260
228,69,260
229,75,260
230,315,261
231,62,265
232,65,265
233,67,265
234,65,267
235,67,267
236,316,267
237,63,276
238,69,276
239,75,276
240,81,276
241,87,276
242,93,276
243,99,276
244,105,276
245,111,276
246,117,276
247,62,607
248,64,607
249,65,607
250,315,609
251,63,517
252,64,517
253,65,517
254,65,525
255,67,525
256,69,525
257,66,526
258,68,526
259,70,526
260,63,527
261,63,963
262,66,963
263,68,963
264,64,964
265,67,964
266,68,964
267,316,964
268,70,964
269,63,962
270,65,962
271,67,962
272,65,188
273,67,188
274,68,188
275,64,606
276,66,606
277,316,606
278,316,607
279,75,607
280,81,607
281,64,609
282,66,609
283,69,609
284,65,611
285,67,611
286,69,611
287,71,611
288,73,611
289,68,48
290,74,48
291,80,48
292,92,48
293,98,48
294,110,48
295,116,48
296,128,48
297,134,48
298,140,48
299,70,207
300,76,207
301,88,207
302,67,364
303,74,364
304,83,364
305,316,1332
306,70,1332
307,81,1332
308,66,1509
309,68,1515
310,316,1515
311,70,1515
312,70,1517
313,72,1517
314,74,1517
315,316,863
316,68,865
317,69,865
318,70,865
319,69,876
320,93,876
321,123,876
322,316,125
323,72,125
324,77,125
325,87,125
326,98,125
327,71,21
328,75,21
329,77,21
330,83,21
331,87,21
332,89,21
333,93,21
334,95,21
335,99,21
336,101,21
337,316,883
338,68,1594
339,70,1594
340,72,1594
341,70,1596
342,70,1598
343,72,1598
344,74,1598
345,71,1600
346,72,1600
347,73,1600
348,74,1600
349,75,1600
350,75,208
351,81,208
352,93,208
353,99,208
354,111,208
355,117,208
356,123,208
357,135,208
358,141,208
359,147,208
